timestamp,model,latency,response_length
1767846667.2249463,llama,5.695,1475
1767846677.7638066,gemini,16.237,8163
1767846683.476423,chatgpt,21.955,3792
1767846840.7780411,llama,0.02,39
1767846853.9702451,gemini,13.223,5370
1767846854.8001833,chatgpt,14.065,3586
1768814815.544475,llama,11.571,39
1768814841.3960543,chatgpt,37.432,24
1768815082.5701632,llama,0.98,34
1768815083.02047,gemini,1.434,32
1768815083.582763,gemini,279.616,32
1768815083.9127853,chatgpt,2.332,34
